,Manager_Name,Player_Name,NFL_Team,col_count,Player_Abbr,Wildcard,Division,Conference,Super Bowl,Super Bowl Winner
286,"Ass Whipping Commencing in 3, 2, 1…",Dalton Schultz,HOU,3,D.Schultz,True,True,False,False,False
287,"Ass Whipping Commencing in 3, 2, 1…",Austin Hooper,NE,2,A.Hooper,True,True,True,True,False
288,Spencer,Drake Maye,NE,2,D.Maye,True,True,True,True,False
289,Spencer,Jalen Hurts,PHI,3,J.Hurts,True,False,False,False,False
290,Spencer,Bo Nix,DEN,3,B.Nix,False,True,True,False,False
291,Spencer,Jordan Love,GB,2,J.Love,True,False,False,False,False
292,Spencer,Saquon Barkley,PHI,3,S.Barkley,True,False,False,False,False
293,Spencer,Rhamondre Stevenson,NE,2,R.Stevenson,True,True,True,True,False
294,Spencer,Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
295,Spencer,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
296,Spencer,A.J. Brown,PHI,3,A.Brown,True,False,False,False,False
297,Spencer,Stefon Diggs,NE,2,S.Diggs,True,True,True,True,False
298,Spencer,Kayshon Boutte,NE,2,K.Boutte,True,True,True,True,False
299,Spencer,Romeo Doubs,GB,2,R.Doubs,True,False,False,False,False
300,Spencer,Brandin Cooks,BUF,3,B.Cooks,True,True,False,False,False
